      #IC_LIST         QM_V      MM_V    D(MM-QM) 
    C23-C24-H44       119.939   119.855   -0.084  
    N1-C4-C6-C8       -3.021     0.283    -2.738  
    N1-C4-C6-C12     -178.400  -179.802    1.402  
   N1-C4-C10-C20      -90.548   -87.694   -2.854  
   N1-C4-C10-C21      93.008    96.651     3.643  
    N1-C5-C7-C8        5.479    -0.607    -4.872  
    N1-C5-C7-C13      179.530   179.997    0.467  
   N1-C5-C11-C15     -179.459  -179.655    0.196  
   N1-C5-C11-H27      -1.769     2.870     1.101  
   N1-C9-C17-H31      -65.801   -63.900   -1.901  
   N1-C9-C17-H32      175.717   176.907    1.190  
   N1-C9-C17-H33      55.437    57.094     1.657  
    C4-N1-C5-C7       -1.175     3.232     2.057  
    C4-N1-C5-C11     -177.166  -176.469   -0.697  
    C4-N1-C9-C17      98.280    95.763    -2.517  
    C4-N1-C9-H25     -137.831  -140.025    2.194  
    C4-N1-C9-H26      -23.185   -29.664    6.479  
    C4-C6-C8-C7        7.177     2.524    -4.653  
    C4-C6-C8-C14     -178.994  -177.418   -1.576  
   C4-C6-C12-C16      178.960   178.076   -0.884  
   C4-C6-C12-H28      -3.869    -0.347    -3.522  
   C4-C10-C20-C22    -177.878  -178.096    0.218  
   C4-C10-C20-H36      0.955     1.613     0.658  
   C4-C10-C21-C23     178.132   178.088   -0.044  
   C4-C10-C21-H37     -1.997    -1.712    -0.285  
    C5-N1-C4-C6       -0.036    -3.088     3.052  
    C5-N1-C4-C10      178.871   174.376   -4.495  
    C5-N1-C9-C17      -81.327   -82.358    1.031  
    C5-N1-C9-H25      42.563    41.855    -0.708  
    C5-N1-C9-H26      157.209   152.216   -4.993  
    C5-C7-C8-C6       -8.469    -2.392    -6.077  
    C5-C7-C8-C14      178.133   177.547   -0.586  
   C5-C7-C13-C18       4.213     0.089    -4.124  
   C5-C7-C13-H29      179.998   179.176   -0.822  
   N2-C15-C11-C5     -177.577  -179.220    1.643  
   C5-C11-C15-C18     -4.180    -0.739    -3.441  
    C6-C4-N1-C9      -179.626   178.670   -0.956  
    C9-N1-C4-C10      -0.719    -3.866     3.147  
    C7-C5-N1-C9       178.417  -178.549    0.132  
    C9-N1-C5-C11       2.425     1.750    -0.675  
   N2-C15-C11-H27      4.647    -1.488    -3.159  
   N2-C15-C18-C13     177.394   179.025    1.631  
   N2-C15-C18-H34     -5.176    -0.521    -4.655  
   C7-C5-C11-C15       4.653     0.634    -4.019  
   C7-C13-C18-C15     -4.004    -0.192    -3.812  
  C15-C18-C13-H29    -179.848  -179.347   -0.501  
   C11-C15-N2-H40    -161.787  -166.828    5.041  
   C18-C15-N2-H40     24.878    14.683    -10.195 
   C11-C15-N2-H41     -24.126   -26.563    2.437  
   C18-C15-N2-H41     162.539   154.948   -7.591  
   N3-C16-C12-C6     -177.816  -179.058    1.242  
   N3-C16-C12-H28      5.013    -0.558    -4.455  
   N3-C16-C19-C14     178.083   179.934    1.851  
   N3-C16-C19-H35     -4.330     0.320    -4.010  
   C8-C6-C12-C16       3.685    -2.011    -1.674  
   C8-C14-C19-C16     -3.883     0.232    -3.651  
  C16-C19-C14-H30    -179.981  -179.868   -0.113  
   C12-C16-N3-H42     -20.634   -23.045    2.411  
   C19-C16-N3-H42     165.143   157.529   -7.614  
   C12-C16-N3-H43    -161.988  -162.326    0.338  
   C19-C16-N3-H43     23.789    18.248    -5.541  
   C6-C4-C10-C20      88.374    89.844     1.470  
   C6-C4-C10-C21      -88.070   -85.811   -2.259  
    C6-C8-C7-C13      177.843   176.987   -0.856  
   C6-C8-C14-C19       3.779    -1.802    -1.977  
   C6-C8-C14-H30      179.781   178.306   -1.475  
   C6-C12-C16-C19     -3.539     0.370    -3.169  
    C8-C6-C4-C10      178.075  -177.081   -0.994  
   C10-C4-C6-C12       2.696     2.835     0.139  
  C10-C20-C22-C24      0.355     0.994     0.639  
  C10-C20-C22-H38    -179.951  -179.638   -0.313  
  C10-C21-C23-C24     -0.861    -0.941     0.080  
  C10-C21-C23-H39     179.615   179.653    0.038  
   C7-C5-C11-H27     -177.657  -176.840   -0.817  
    C7-C8-C6-C12     -177.509  -177.391   -0.118  
   C7-C8-C14-C19      177.260   178.257    0.997  
   C7-C8-C14-H30      -6.737    -1.634    -5.103  
   C7-C13-C18-H34     178.575   179.359    0.784  
    C8-C7-C5-C11     -178.545   179.092    0.547  
   C11-C5-C7-C13      -4.494    -0.304    -4.190  
  C11-C15-C18-C13      3.877     0.511    -3.366  
  C11-C15-C18-H34    -178.693  -179.035    0.342  
   C8-C6-C12-H28     -179.145   179.567    0.422  
   C8-C7-C13-C18      178.088  -179.299    1.211  
   C8-C7-C13-H29      -6.127    -0.212    -5.915  
   C8-C14-C19-H35     178.541   179.849    1.308  
   C12-C6-C8-C14      -3.680     2.667    -1.013  
  C12-C16-C19-C14      3.680     0.505    -3.175  
  C12-C16-C19-H35    -178.734  -179.109    0.375  
   C13-C7-C8-C14       4.445    -3.073    -1.372  
   H25-C9-C17-H31     173.756   176.990    3.234  
   H25-C9-C17-H32     55.275    57.797     2.522  
   H25-C9-C17-H33     -65.005   -62.016   -2.989  
   H26-C9-C17-H31     53.280    58.570     5.290  
   H26-C9-C17-H32     -65.201   -60.623   -4.578  
   H26-C9-C17-H33     174.519   179.565    5.046  
  C20-C10-C21-C23      1.703     2.377     0.674  
  C20-C10-C21-H37    -178.426  -177.423   -1.003  
  C20-C22-C24-C23      0.482     0.470    -0.012  
  C20-C22-C24-H44    -179.907   179.615   -0.292  
  C21-C10-C20-C22     -1.450    -2.403     0.953  
  C21-C10-C20-H36     177.383   177.306   -0.077  
  C21-C23-C24-C22     -0.227    -0.496     0.269  
  C21-C23-C24-H44    -179.838  -179.641   -0.197  
  C18-C15-C11-H27     178.044   176.993   -1.051  
  C19-C16-C12-H28     179.289   178.871   -0.418  
  H29-C13-C18-H34      2.731     0.204    -2.527  
  H30-C14-C19-H35      2.443    -0.251    -2.192  
  C22-C24-C23-H39     179.295   178.912   -0.383  
  C24-C22-C20-H36    -178.473  -178.722    0.249  
  H36-C20-C22-H38      1.221     0.646    -0.575  
  C23-C24-C22-H38    -179.211  -178.900   -0.311  
  C24-C23-C21-H37     179.268   178.863   -0.405  
  H37-C21-C23-H39     -0.256    -0.543     0.287  
  H38-C22-C24-H44      0.400     0.244    -0.156  
  H39-C23-C24-H44     -0.316    -0.232    -0.084  
