######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      0.8725521
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  1.9506955      0.0411936      0.6477040      -0.0065471   9.9347e-01  6.29191       AM     
  1.2428982      -0.7077973     0.6477040      -0.0065471   9.9347e-01  6.22746       AF     
  0.8532411      -0.3896571     0.6477040      -0.0065471   9.9347e-01  6.16367       AF     
  0.6695475      -0.1836936     0.6477040      -0.0065471   9.9347e-01  6.10054       AF     
  0.7707659      0.1012183      0.6477040      -0.0167634   9.8338e-01  6.03805       AM     
  0.8651269      0.0943611      0.6477040      -0.0157895   9.8433e-01  5.97620       AM     
  2.1326258      1.2674989      0.6477040      -0.2142862   8.0712e-01  5.91498       AM     
  2.2756208      0.1429949      0.6477040      -0.0244252   9.7587e-01  5.85439       AM     
  0.9379594      -1.3376613     0.6477040      -0.0244252   9.7587e-01  5.79443       AF     
  1.1366652      0.1987058      0.6477040      -0.0346475   9.6595e-01  5.73507       AM     
  0.6428177      -0.4938476     0.6428177      -0.0346475   9.6595e-01  5.67633       AF     
  0.6515025      0.0086848      0.6428177      -0.0015458   9.9846e-01  5.61818       AM     
  1.1130021      0.4614996      0.6428177      -0.0829940   9.2036e-01  5.56064       AM     
  1.0509858      -0.0620163     0.6428177      -0.0829940   9.2036e-01  5.50368       AF     
  2.0471590      0.9961732      0.6428177      -0.1828746   8.3287e-01  5.44730       AM     
  1.2826529      -0.7645061     0.6428177      -0.1828746   8.3287e-01  5.39150       AF     
  1.0110907      -0.2715622     0.6428177      -0.1828746   8.3287e-01  5.33628       AF     
  1.0527585      0.0416678      0.6428177      -0.0078892   9.9214e-01  5.28162       AM     
  2.1063386      1.0535801      0.6428177      -0.2015450   8.1747e-01  5.22752       AM     
  0.9645338      -1.1418048     0.6428177      -0.2015450   8.1747e-01  5.17397       AF     
  1.3550588      0.3905250      0.6428177      -0.0762599   9.2658e-01  5.12097       AM     
  1.0970853      -0.2579735     0.6428177      -0.0762599   9.2658e-01  5.06852       AF     
  1.3849499      0.2878646      0.6428177      -0.0573824   9.4423e-01  5.01660       AM     
  1.9726684      0.5877185      0.6428177      -0.1183672   8.8837e-01  4.96521       AM     
  1.1468898      -0.8257786     0.6428177      -0.1183672   8.8837e-01  4.91435       AF     
  1.7228463      0.5759565      0.6428177      -0.1184117   8.8833e-01  4.86402       AM     
  0.9959118      -0.7269345     0.6428177      -0.1184117   8.8833e-01  4.81419       AF     
  1.7307732      0.7348614      0.6428177      -0.1542245   8.5708e-01  4.76488       AM     
  0.9119036      -0.8188696     0.6428177      -0.1542245   8.5708e-01  4.71607       AF     
  0.9119036      1.6431109      0.6428177      -0.3520124   7.0327e-01  4.66776       RM     
  0.7880862      -0.1238174     0.6428177      -0.3520124   7.0327e-01  4.61995       AF     
  1.6915627      0.9034765      0.6428177      -0.1975836   8.2071e-01  4.57263       AM     
  0.6168230      -1.0747397     0.6168230      -0.1975836   8.2071e-01  4.52579       AF     
  1.9465628      1.3297398      0.6168230      -0.2968545   7.4315e-01  4.47943       AM     
  0.9374234      -1.0091395     0.6168230      -0.2968545   7.4315e-01  4.43355       AF     
  1.3734335      0.4360101      0.6168230      -0.0993611   9.0542e-01  4.38813       AM     
  1.1722024      -0.2012310     0.6168230      -0.0993611   9.0542e-01  4.34319       AF     
  0.7530671      -0.4191353     0.6168230      -0.0993611   9.0542e-01  4.29870       AF     
  0.7350109      -0.0180562     0.6168230      -0.0993611   9.0542e-01  4.25467       AF     
  0.6714349      -0.0635761     0.6168230      -0.0993611   9.0542e-01  4.21108       AF     
  0.8178034      0.1463685      0.6168230      -0.0351176   9.6549e-01  4.16795       AM     
  1.1462782      0.3284748      0.6168230      -0.0796253   9.2346e-01  4.12526       AM     
  0.7339416      -0.4123366     0.6168230      -0.0796253   9.2346e-01  4.08300       AF     
  0.7339416      1.4680361      0.6168230      -0.3632694   6.9540e-01  4.04118       RM     
  1.9900005      1.2560589      0.6168230      -0.3140317   7.3050e-01  3.99978       AM     
  0.8319870      -1.1580135     0.6168230      -0.3140317   7.3050e-01  3.95881       AF     
