
Host: node001

Timers On : Wed Mar 31 21:09:55 2021
Timers Off: Wed Mar 31 23:32:44 2021

Wall Time:     8569.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 G                             :   2095.117u     12.700s    316.962w    432 calls
DFMP2 Pab                           :    637.383u     34.267s    100.990w    432 calls
DFMP2 Gia Write                     :     17.267u      6.517s      3.569w    108 calls
DFMP2 Tab                           :   2468.617u     64.100s    390.092w     27 calls
DFMP2 Qai Read                      :     38.033u     13.217s      8.689w    324 calls
DFMP2 Pij                           :    134.217u      4.483s     20.854w    243 calls
DFMP2 gamma                         :    213.783u     20.500s     41.565w     27 calls
DFMP2 Gia Read                      :      0.050u      6.417s      3.918w     54 calls
DFMP2 g                             :    188.233u      1.350s     28.507w     27 calls
DFMP2 Gia                           :     51.617u     25.333s     18.721w     27 calls
DFMP2 aiG Write                     :     13.783u      5.067s      2.835w     27 calls
DFMP2 AB^x                          :     30.150u      0.733s      6.509w     27 calls
DFMP2 Amn^x                         :   2507.817u     48.467s    395.234w     27 calls
DFMP2 L                             :   1456.667u     54.433s    240.823w     27 calls
DFMP2 P                             :      3.467u      0.183s      0.710w     27 calls
DFMP2 W                             :      2.467u      0.167s      0.467w     27 calls
DFMP2 Z                             :  18504.183u    974.417s   3098.226w     27 calls
DFMP2 grad                          :   7003.783u    224.417s   1130.296w     26 calls
Grad: V T Perturb                   :    213.367u      1.600s     32.322w     26 calls
Grad: S                             :      1.017u      0.000s      0.160w     26 calls
Grad: JK                            :   6774.500u    222.483s   1095.246w     26 calls
CorrGrad: Amn                       :   1376.783u     55.233s    231.801w     26 calls
CorrGrad: AB                        :   1330.000u     49.900s    214.053w     26 calls
CorrGrad: UV                        :    844.100u     54.067s    144.379w     26 calls
CorrGrad: ABx                       :     35.317u      2.033s      5.613w     26 calls
CorrGrad: Amnx                      :   3140.550u     54.433s    486.488w     26 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      6.500u      0.283s      4.081w     27 calls
JK: (A|Q)^-1                        :    581.783u     34.133s     90.291w     27 calls
JK: (A|mn)                          :    484.233u      5.100s     73.566w     54 calls
JK: (Q|mn)                          :   1443.150u     12.083s    218.820w     54 calls
JK: (Q|mn) Write                    :     51.000u     28.100s     16.169w     54 calls
HF: Form core H                     :      0.350u      0.183s      2.406w     27 calls
HF: Form S/X                        :      7.567u      0.200s      1.167w     27 calls
HF: Guess                           :      4.750u      0.167s      0.744w     27 calls
| SAD Guess                         :      4.333u      0.117s      0.671w      2 calls
HF: Form G                          :   9311.183u    696.033s   1624.642w    466 calls
| JK: D                             :      2.067u      0.017s      0.293w    466 calls
| JK: USO2AO                        :      1.350u      0.067s      0.221w    466 calls
| JK: JK                            :   9304.150u    695.550s   1623.527w    466 calls
| | JK: (Q|mn) Read                 :    527.033u    300.550s    172.417w   1400 calls
| | JK: J                           :    212.983u      3.950s     32.766w   1400 calls
| | | JK: J1                        :    107.017u      2.200s     16.447w   1400 calls
| | | JK: J2                        :     98.533u      1.417s     15.021w   1400 calls
| | JK: K                           :   7899.817u     83.500s   1200.442w   1400 calls
| | | JK: K1                        :   5115.817u     63.217s    778.816w   1400 calls
| | | JK: K2                        :   2781.017u     20.000s    421.176w   1400 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    466 calls
HF: Form F                          :      2.383u      0.133s      0.377w    466 calls
HF: Form D                          :      1.917u      0.033s      0.284w    466 calls
HF: DIIS                            :     53.017u      7.667s      9.174w    464 calls
| DIISManager::add_entry            :      5.433u      1.167s      0.984w    439 calls
| DIISManager::extrapolate          :     19.450u      5.183s      3.738w    439 calls
| | bMatrix setup                   :      9.950u      3.483s      2.006w    439 calls
| | bMatrix pseudoinverse           :      0.183u      0.050s      0.040w    439 calls
| | New vector                      :      9.267u      1.633s      1.684w    439 calls
HF: Form C                          :    122.467u      1.833s     18.671w    464 calls
DFMP2 Singles                       :      0.867u      0.000s      0.136w     27 calls
DFMP2 Aia                           :   1017.167u     41.650s    172.172w     27 calls
| DFMP2 (A|mn)                      :    789.700u      6.133s    119.702w     81 calls
| DFMP2 (A|mn)C_mi                  :     70.117u      5.217s     11.416w     81 calls
| DFMP2 (A|mi)C_na                  :     47.633u      0.783s      7.288w     81 calls
| DFMP2 Aia Write                   :     16.317u      6.033s      3.342w     81 calls
DFMP2 iaQ                           :    629.600u     49.717s    112.192w     27 calls
| DFMP2 Metric                      :    179.983u      3.400s     27.580w     27 calls
| DFMP2 Aia Read                    :      0.033u      3.483s      2.158w     27 calls
| DFMP2 (Q|A)(A|ia)                 :    372.833u      3.283s     56.554w     54 calls
| DFMP2 Qia Write                   :     17.250u      6.417s      3.565w     27 calls
