
Host: node001

Timers On : Wed Mar 31 21:09:55 2021
Timers Off: Wed Mar 31 23:32:44 2021

Wall Time:     8569.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | JK: K1                        :   4742.950u     51.633s    721.020w   1075 calls
| | | JK: K2                        :   2742.283u     12.950s    414.331w   1075 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    348 calls
HF: Form F                          :      1.950u      0.233s      0.331w    348 calls
HF: Form D                          :      1.683u      0.050s      0.246w    348 calls
HF: DIIS                            :     40.633u      5.383s      6.901w    317 calls
| DIISManager::add_entry            :      4.267u      1.167s      0.822w    317 calls
| DIISManager::extrapolate          :     12.400u      3.133s      2.359w    317 calls
| | bMatrix setup                   :      5.967u      1.817s      1.192w    317 calls
| | bMatrix pseudoinverse           :      0.300u      0.017s      0.036w    317 calls
| | New vector                      :      6.067u      1.300s      1.124w    317 calls
HF: Form C                          :     98.800u      1.300s     15.065w    317 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 12:04:12 2021
Timers Off: Thu Apr  1 12:42:34 2021

Wall Time:     2302.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.900u      0.617s      5.686w     31 calls
JK: (A|Q)^-1                        :    855.450u     56.117s    132.941w     31 calls
JK: (A|mn)                          :    752.467u      9.700s    114.640w     93 calls
JK: (Q|mn)                          :   2148.317u     31.517s    327.744w     93 calls
JK: (Q|mn) Write                    :     65.117u     41.500s     24.183w     93 calls
HF: Form core H                     :      6.183u      0.383s      1.346w     31 calls
HF: Form S/X                        :     11.300u      0.267s      1.747w     31 calls
HF: Guess                           :    101.533u      2.483s     15.639w     31 calls
SAD Guess                           :     98.100u      2.317s     15.110w     31 calls
HF: Form G                          :   8854.700u    648.417s   1526.830w    341 calls
JK: D                               :      1.967u      0.100s      0.346w    341 calls
JK: USO2AO                          :      1.450u      0.100s      0.234w    341 calls
JK: JK                              :   8846.667u    647.367s   1525.498w    341 calls
JK: (Q|mn) Read                     :    534.967u    291.600s    167.172w   1054 calls
JK: J                               :    231.133u      7.167s     36.136w   1054 calls
JK: J1                              :    119.567u      5.100s     18.783w   1054 calls
JK: J2                              :    102.783u      1.433s     15.710w   1054 calls
JK: K                               :   7619.883u    126.217s   1164.819w   1054 calls
JK: K1                              :   4810.317u     98.600s    738.216w   1054 calls
JK: K2                              :   2806.667u     27.283s    426.124w   1054 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      2.417u      0.233s      0.417w    341 calls
HF: Form D                          :      1.883u      0.033s      0.295w    341 calls
HF: DIIS                            :     41.133u      6.333s      7.110w    310 calls
DIISManager::add_entry              :      4.350u      1.083s      0.805w    310 calls
DIISManager::extrapolate            :     12.383u      3.283s      2.328w    310 calls
bMatrix setup                       :      6.283u      1.917s      1.230w    310 calls
bMatrix pseudoinverse               :      0.133u      0.017s      0.037w    310 calls
New vector                          :      5.883u      1.350s      1.053w    310 calls
HF: Form C                          :    109.600u      1.767s     16.781w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.900u      0.617s      5.686w     31 calls
JK: (A|Q)^-1                        :    855.450u     56.117s    132.941w     31 calls
JK: (A|mn)                          :    752.467u      9.700s    114.640w     93 calls
JK: (Q|mn)                          :   2148.317u     31.517s    327.744w     93 calls
JK: (Q|mn) Write                    :     65.117u     41.500s     24.183w     93 calls
HF: Form core H                     :      6.183u      0.383s      1.346w     31 calls
HF: Form S/X                        :     11.300u      0.267s      1.747w     31 calls
HF: Guess                           :    101.533u      2.483s     15.639w     31 calls
| SAD Guess                         :     98.100u      2.317s     15.110w     31 calls
HF: Form G                          :   8854.700u    648.417s   1526.830w    341 calls
| JK: D                             :      1.967u      0.100s      0.346w    341 calls
| JK: USO2AO                        :      1.450u      0.100s      0.234w    341 calls
| JK: JK                            :   8846.667u    647.367s   1525.498w    341 calls
| | JK: (Q|mn) Read                 :    534.967u    291.600s    167.172w   1054 calls
| | JK: J                           :    231.133u      7.167s     36.136w   1054 calls
| | | JK: J1                        :    119.567u      5.100s     18.783w   1054 calls
| | | JK: J2                        :    102.783u      1.433s     15.710w   1054 calls
| | JK: K                           :   7619.883u    126.217s   1164.819w   1054 calls
| | | JK: K1                        :   4810.317u     98.600s    738.216w   1054 calls
| | | JK: K2                        :   2806.667u     27.283s    426.124w   1054 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      2.417u      0.233s      0.417w    341 calls
HF: Form D                          :      1.883u      0.033s      0.295w    341 calls
HF: DIIS                            :     41.133u      6.333s      7.110w    310 calls
| DIISManager::add_entry            :      4.350u      1.083s      0.805w    310 calls
| DIISManager::extrapolate          :     12.383u      3.283s      2.328w    310 calls
| | bMatrix setup                   :      6.283u      1.917s      1.230w    310 calls
| | bMatrix pseudoinverse           :      0.133u      0.017s      0.037w    310 calls
| | New vector                      :      5.883u      1.350s      1.053w    310 calls
HF: Form C                          :    109.600u      1.767s     16.781w    310 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 12:37:37 2021
Timers Off: Thu Apr  1 13:13:20 2021

Wall Time:     2143.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.733u      0.350s      5.429w     31 calls
JK: (A|Q)^-1                        :    827.967u     45.983s    127.889w     31 calls
JK: (A|mn)                          :    608.450u      4.050s     92.085w     93 calls
JK: (Q|mn)                          :   1964.867u     14.367s    297.581w     93 calls
JK: (Q|mn) Write                    :     61.000u     31.100s     17.957w     93 calls
HF: Form core H                     :      8.150u      0.333s      1.750w     31 calls
HF: Form S/X                        :      9.650u      0.150s      1.468w     31 calls
HF: Guess                           :     98.217u      2.317s     15.115w     31 calls
SAD Guess                           :     95.083u      2.183s     14.627w     31 calls
HF: Form G                          :   8593.050u    479.650s   1437.821w    372 calls
JK: D                               :      1.950u      0.033s      0.282w    372 calls
JK: USO2AO                          :      1.283u      0.017s      0.187w    372 calls
JK: JK                              :   8586.750u    479.250s   1436.800w    372 calls
JK: (Q|mn) Read                     :    445.000u    235.017s    135.244w   1147 calls
JK: J                               :    189.200u      3.100s     29.074w   1147 calls
JK: J1                              :     94.583u      1.750s     14.478w   1147 calls
JK: J2                              :     86.150u      0.800s     13.140w   1147 calls
JK: K                               :   7463.450u     37.233s   1127.745w   1147 calls
JK: K1                              :   4602.267u     32.683s    696.931w   1147 calls
JK: K2                              :   2858.483u      4.333s    430.426w   1147 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    372 calls
HF: Form F                          :      2.150u      0.217s      0.327w    372 calls
HF: Form D                          :      1.733u      0.017s      0.253w    372 calls
HF: DIIS                            :     42.267u      4.850s      7.159w    341 calls
DIISManager::add_entry              :      4.550u      1.267s      0.845w    341 calls
DIISManager::extrapolate            :     13.200u      2.867s      2.475w    341 calls
bMatrix setup                       :      6.650u      1.717s      1.262w    341 calls
bMatrix pseudoinverse               :      0.217u      0.017s      0.032w    341 calls
New vector                          :      6.283u      1.133s      1.176w    341 calls
HF: Form C                          :    105.167u      1.700s     16.023w    341 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.733u      0.350s      5.429w     31 calls
JK: (A|Q)^-1                        :    827.967u     45.983s    127.889w     31 calls
JK: (A|mn)                          :    608.450u      4.050s     92.085w     93 calls
JK: (Q|mn)                          :   1964.867u     14.367s    297.581w     93 calls
JK: (Q|mn) Write                    :     61.000u     31.100s     17.957w     93 calls
HF: Form core H                     :      8.150u      0.333s      1.750w     31 calls
HF: Form S/X                        :      9.650u      0.150s      1.468w     31 calls
HF: Guess                           :     98.217u      2.317s     15.115w     31 calls
| SAD Guess                         :     95.083u      2.183s     14.627w     31 calls
HF: Form G                          :   8593.050u    479.650s   1437.821w    372 calls
| JK: D                             :      1.950u      0.033s      0.282w    372 calls
| JK: USO2AO                        :      1.283u      0.017s      0.187w    372 calls
| JK: JK                            :   8586.750u    479.250s   1436.800w    372 calls
| | JK: (Q|mn) Read                 :    445.000u    235.017s    135.244w   1147 calls
| | JK: J                           :    189.200u      3.100s     29.074w   1147 calls
| | | JK: J1                        :     94.583u      1.750s     14.478w   1147 calls
| | | JK: J2                        :     86.150u      0.800s     13.140w   1147 calls
| | JK: K                           :   7463.450u     37.233s   1127.745w   1147 calls
| | | JK: K1                        :   4602.267u     32.683s    696.931w   1147 calls
| | | JK: K2                        :   2858.483u      4.333s    430.426w   1147 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    372 calls
HF: Form F                          :      2.150u      0.217s      0.327w    372 calls
HF: Form D                          :      1.733u      0.017s      0.253w    372 calls
HF: DIIS                            :     42.267u      4.850s      7.159w    341 calls
| DIISManager::add_entry            :      4.550u      1.267s      0.845w    341 calls
| DIISManager::extrapolate          :     13.200u      2.867s      2.475w    341 calls
| | bMatrix setup                   :      6.650u      1.717s      1.262w    341 calls
| | bMatrix pseudoinverse           :      0.217u      0.017s      0.032w    341 calls
| | New vector                      :      6.283u      1.133s      1.176w    341 calls
HF: Form C                          :    105.167u      1.700s     16.023w    341 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 12:39:58 2021
Timers Off: Thu Apr  1 13:17:27 2021

Wall Time:     2249.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.750u      0.367s      5.493w     31 calls
JK: (A|Q)^-1                        :    844.450u     49.517s    130.458w     31 calls
JK: (A|mn)                          :    603.883u      2.850s     91.211w     93 calls
JK: (Q|mn)                          :   1988.550u     11.733s    300.764w     93 calls
JK: (Q|mn) Write                    :     61.783u     38.700s     22.577w     93 calls
HF: Form core H                     :      6.533u      0.350s      1.451w     31 calls
HF: Form S/X                        :      9.633u      0.200s      1.468w     31 calls
HF: Guess                           :    102.167u      2.267s     15.705w     31 calls
SAD Guess                           :     98.850u      2.217s     15.195w     31 calls
HF: Form G                          :   8938.250u    580.033s   1532.828w    372 calls
JK: D                               :      2.000u      0.083s      0.299w    372 calls
JK: USO2AO                          :      1.167u      0.067s      0.196w    372 calls
JK: JK                              :   8931.383u    579.400s   1531.778w    372 calls
JK: (Q|mn) Read                     :    518.233u    277.483s    159.313w   1147 calls
JK: J                               :    183.350u      3.700s     28.381w   1147 calls
JK: J1                              :     91.700u      2.833s     14.243w   1147 calls
JK: J2                              :     83.833u      0.533s     12.700w   1147 calls
JK: K                               :   7693.750u     44.933s   1163.601w   1147 calls
JK: K1                              :   4805.883u     33.267s    727.603w   1147 calls
JK: K2                              :   2885.433u     11.517s    435.621w   1147 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    372 calls
HF: Form F                          :      1.900u      0.133s      0.329w    372 calls
HF: Form D                          :      1.750u      0.050s      0.261w    372 calls
HF: DIIS                            :     43.833u      5.700s      7.498w    341 calls
DIISManager::add_entry              :      4.750u      1.033s      0.923w    341 calls
DIISManager::extrapolate            :     14.350u      3.600s      2.688w    341 calls
bMatrix setup                       :      7.033u      2.033s      1.364w    341 calls
bMatrix pseudoinverse               :      0.217u      0.033s      0.030w    341 calls
New vector                          :      7.067u      1.533s      1.288w    341 calls
HF: Form C                          :    104.700u      1.300s     15.961w    341 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.750u      0.367s      5.493w     31 calls
JK: (A|Q)^-1                        :    844.450u     49.517s    130.458w     31 calls
JK: (A|mn)                          :    603.883u      2.850s     91.211w     93 calls
JK: (Q|mn)                          :   1988.550u     11.733s    300.764w     93 calls
JK: (Q|mn) Write                    :     61.783u     38.700s     22.577w     93 calls
HF: Form core H                     :      6.533u      0.350s      1.451w     31 calls
HF: Form S/X                        :      9.633u      0.200s      1.468w     31 calls
HF: Guess                           :    102.167u      2.267s     15.705w     31 calls
| SAD Guess                         :     98.850u      2.217s     15.195w     31 calls
HF: Form G                          :   8938.250u    580.033s   1532.828w    372 calls
| JK: D                             :      2.000u      0.083s      0.299w    372 calls
| JK: USO2AO                        :      1.167u      0.067s      0.196w    372 calls
| JK: JK                            :   8931.383u    579.400s   1531.778w    372 calls
| | JK: (Q|mn) Read                 :    518.233u    277.483s    159.313w   1147 calls
| | JK: J                           :    183.350u      3.700s     28.381w   1147 calls
| | | JK: J1                        :     91.700u      2.833s     14.243w   1147 calls
| | | JK: J2                        :     83.833u      0.533s     12.700w   1147 calls
| | JK: K                           :   7693.750u     44.933s   1163.601w   1147 calls
| | | JK: K1                        :   4805.883u     33.267s    727.603w   1147 calls
| | | JK: K2                        :   2885.433u     11.517s    435.621w   1147 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    372 calls
HF: Form F                          :      1.900u      0.133s      0.329w    372 calls
HF: Form D                          :      1.750u      0.050s      0.261w    372 calls
HF: DIIS                            :     43.833u      5.700s      7.498w    341 calls
| DIISManager::add_entry            :      4.750u      1.033s      0.923w    341 calls
| DIISManager::extrapolate          :     14.350u      3.600s      2.688w    341 calls
| | bMatrix setup                   :      7.033u      2.033s      1.364w    341 calls
| | bMatrix pseudoinverse           :      0.217u      0.033s      0.030w    341 calls
| | New vector                      :      7.067u      1.533s      1.288w    341 calls
HF: Form C                          :    104.700u      1.300s     15.961w    341 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 12:41:32 2021
Timers Off: Thu Apr  1 13:20:35 2021

Wall Time:     2343.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.900u      0.400s      5.563w     31 calls
JK: (A|Q)^-1                        :    860.883u     51.617s    133.682w     31 calls
JK: (A|mn)                          :    682.517u      8.133s    103.855w     93 calls
JK: (Q|mn)                          :   2059.917u     24.683s    313.458w     93 calls
JK: (Q|mn) Write                    :     62.650u     41.583s     24.286w     93 calls
HF: Form core H                     :      6.700u      0.267s      1.480w     31 calls
HF: Form S/X                        :     10.667u      0.267s      1.647w     31 calls
HF: Guess                           :    100.367u      2.450s     15.453w     31 calls
SAD Guess                           :     96.983u      2.350s     14.940w     31 calls
HF: Form G                          :   9292.433u    635.950s   1594.590w    371 calls
JK: D                               :      1.983u      0.050s      0.314w    371 calls
JK: USO2AO                          :      1.583u      0.100s      0.219w    371 calls
JK: JK                              :   9285.250u    635.217s   1593.441w    371 calls
JK: (Q|mn) Read                     :    532.350u    288.633s    165.634w   1144 calls
JK: J                               :    218.850u      4.967s     33.844w   1144 calls
JK: J1                              :    112.367u      3.500s     17.443w   1144 calls
JK: J2                              :     98.050u      0.900s     14.861w   1144 calls
JK: K                               :   8025.367u    101.350s   1222.044w   1144 calls
JK: K1                              :   5072.517u     78.450s    774.525w   1144 calls
JK: K2                              :   2950.217u     22.717s    447.093w   1144 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    371 calls
HF: Form F                          :      2.083u      0.150s      0.338w    371 calls
HF: Form D                          :      2.017u      0.033s      0.280w    371 calls
HF: DIIS                            :     43.233u      5.467s      7.349w    340 calls
DIISManager::add_entry              :      4.350u      1.117s      0.814w    340 calls
DIISManager::extrapolate            :     13.517u      3.350s      2.552w    340 calls
bMatrix setup                       :      6.767u      2.117s      1.334w    340 calls
bMatrix pseudoinverse               :      0.383u      0.017s      0.039w    340 calls
New vector                          :      6.333u      1.217s      1.172w    340 calls
HF: Form C                          :    110.600u      1.600s     16.886w    340 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.900u      0.400s      5.563w     31 calls
JK: (A|Q)^-1                        :    860.883u     51.617s    133.682w     31 calls
JK: (A|mn)                          :    682.517u      8.133s    103.855w     93 calls
JK: (Q|mn)                          :   2059.917u     24.683s    313.458w     93 calls
JK: (Q|mn) Write                    :     62.650u     41.583s     24.286w     93 calls
HF: Form core H                     :      6.700u      0.267s      1.480w     31 calls
HF: Form S/X                        :     10.667u      0.267s      1.647w     31 calls
HF: Guess                           :    100.367u      2.450s     15.453w     31 calls
| SAD Guess                         :     96.983u      2.350s     14.940w     31 calls
HF: Form G                          :   9292.433u    635.950s   1594.590w    371 calls
| JK: D                             :      1.983u      0.050s      0.314w    371 calls
| JK: USO2AO                        :      1.583u      0.100s      0.219w    371 calls
| JK: JK                            :   9285.250u    635.217s   1593.441w    371 calls
| | JK: (Q|mn) Read                 :    532.350u    288.633s    165.634w   1144 calls
| | JK: J                           :    218.850u      4.967s     33.844w   1144 calls
| | | JK: J1                        :    112.367u      3.500s     17.443w   1144 calls
| | | JK: J2                        :     98.050u      0.900s     14.861w   1144 calls
| | JK: K                           :   8025.367u    101.350s   1222.044w   1144 calls
| | | JK: K1                        :   5072.517u     78.450s    774.525w   1144 calls
| | | JK: K2                        :   2950.217u     22.717s    447.093w   1144 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    371 calls
HF: Form F                          :      2.083u      0.150s      0.338w    371 calls
HF: Form D                          :      2.017u      0.033s      0.280w    371 calls
HF: DIIS                            :     43.233u      5.467s      7.349w    340 calls
| DIISManager::add_entry            :      4.350u      1.117s      0.814w    340 calls
| DIISManager::extrapolate          :     13.517u      3.350s      2.552w    340 calls
| | bMatrix setup                   :      6.767u      2.117s      1.334w    340 calls
| | bMatrix pseudoinverse           :      0.383u      0.017s      0.039w    340 calls
| | New vector                      :      6.333u      1.217s      1.172w    340 calls
HF: Form C                          :    110.600u      1.600s     16.886w    340 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 12:41:49 2021
Timers Off: Thu Apr  1 13:21:11 2021

Wall Time:     2362.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.867u      0.350s      5.574w     31 calls
JK: (A|Q)^-1                        :    869.367u     54.567s    135.178w     31 calls
JK: (A|mn)                          :    636.150u      8.417s     96.938w     93 calls
JK: (Q|mn)                          :   2057.133u     25.700s    313.246w     93 calls
JK: (Q|mn) Write                    :     62.883u     44.283s     25.891w     93 calls
HF: Form core H                     :      6.600u      0.300s      1.562w     31 calls
HF: Form S/X                        :     10.000u      0.267s      1.534w     31 calls
HF: Guess                           :    101.617u      2.367s     15.645w     31 calls
SAD Guess                           :     98.267u      2.283s     15.128w     31 calls
HF: Form G                          :   9256.333u    690.550s   1616.158w    372 calls
JK: D                               :      2.033u      0.033s      0.324w    372 calls
JK: USO2AO                          :      1.500u      0.033s      0.216w    372 calls
JK: JK                              :   9249.100u    689.933s   1614.984w    372 calls
JK: (Q|mn) Read                     :    556.817u    311.500s    178.807w   1147 calls
JK: J                               :    208.433u      5.117s     32.359w   1147 calls
JK: J1                              :    107.717u      3.917s     16.818w   1147 calls
JK: J2                              :     92.517u      0.650s     13.988w   1147 calls
JK: K                               :   7932.367u     93.033s   1206.857w   1147 calls
JK: K1                              :   5002.150u     67.817s    762.496w   1147 calls
JK: K2                              :   2927.733u     24.933s    443.944w   1147 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    372 calls
HF: Form F                          :      2.250u      0.250s      0.354w    372 calls
HF: Form D                          :      1.683u      0.033s      0.277w    372 calls
HF: DIIS                            :     44.767u      5.833s      7.644w    341 calls
DIISManager::add_entry              :      4.167u      1.017s      0.834w    341 calls
DIISManager::extrapolate            :     14.367u      3.750s      2.742w    341 calls
bMatrix setup                       :      7.100u      2.233s      1.416w    341 calls
bMatrix pseudoinverse               :      0.200u      0.017s      0.037w    341 calls
New vector                          :      7.033u      1.500s      1.281w    341 calls
HF: Form C                          :    107.833u      1.500s     16.426w    341 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.867u      0.350s      5.574w     31 calls
JK: (A|Q)^-1                        :    869.367u     54.567s    135.178w     31 calls
JK: (A|mn)                          :    636.150u      8.417s     96.938w     93 calls
JK: (Q|mn)                          :   2057.133u     25.700s    313.246w     93 calls
JK: (Q|mn) Write                    :     62.883u     44.283s     25.891w     93 calls
HF: Form core H                     :      6.600u      0.300s      1.562w     31 calls
HF: Form S/X                        :     10.000u      0.267s      1.534w     31 calls
HF: Guess                           :    101.617u      2.367s     15.645w     31 calls
| SAD Guess                         :     98.267u      2.283s     15.128w     31 calls
HF: Form G                          :   9256.333u    690.550s   1616.158w    372 calls
| JK: D                             :      2.033u      0.033s      0.324w    372 calls
| JK: USO2AO                        :      1.500u      0.033s      0.216w    372 calls
| JK: JK                            :   9249.100u    689.933s   1614.984w    372 calls
| | JK: (Q|mn) Read                 :    556.817u    311.500s    178.807w   1147 calls
| | JK: J                           :    208.433u      5.117s     32.359w   1147 calls
| | | JK: J1                        :    107.717u      3.917s     16.818w   1147 calls
| | | JK: J2                        :     92.517u      0.650s     13.988w   1147 calls
| | JK: K                           :   7932.367u     93.033s   1206.857w   1147 calls
| | | JK: K1                        :   5002.150u     67.817s    762.496w   1147 calls
| | | JK: K2                        :   2927.733u     24.933s    443.944w   1147 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    372 calls
HF: Form F                          :      2.250u      0.250s      0.354w    372 calls
HF: Form D                          :      1.683u      0.033s      0.277w    372 calls
HF: DIIS                            :     44.767u      5.833s      7.644w    341 calls
| DIISManager::add_entry            :      4.167u      1.017s      0.834w    341 calls
| DIISManager::extrapolate          :     14.367u      3.750s      2.742w    341 calls
| | bMatrix setup                   :      7.100u      2.233s      1.416w    341 calls
| | bMatrix pseudoinverse           :      0.200u      0.017s      0.037w    341 calls
| | New vector                      :      7.033u      1.500s      1.281w    341 calls
HF: Form C                          :    107.833u      1.500s     16.426w    341 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 12:42:38 2021
Timers Off: Thu Apr  1 13:21:54 2021

Wall Time:     2355.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.917u      0.433s      5.644w     31 calls
JK: (A|Q)^-1                        :    862.350u     55.333s    134.452w     31 calls
JK: (A|mn)                          :    764.617u     12.100s    116.792w     93 calls
JK: (Q|mn)                          :   2132.900u     38.583s    326.534w     93 calls
JK: (Q|mn) Write                    :     63.933u     43.817s     25.495w     93 calls
HF: Form core H                     :      5.817u      0.417s      1.499w     31 calls
HF: Form S/X                        :     11.583u      0.367s      1.806w     31 calls
HF: Guess                           :    100.700u      2.567s     15.520w     31 calls
SAD Guess                           :     97.383u      2.350s     14.988w     31 calls
HF: Form G                          :   9053.083u    737.467s   1573.586w    341 calls
JK: D                               :      2.117u      0.133s      0.364w    341 calls
JK: USO2AO                          :      1.683u      0.083s      0.246w    341 calls
JK: JK                              :   9044.933u    736.267s   1572.108w    341 calls
JK: (Q|mn) Read                     :    540.600u    295.483s    169.645w   1054 calls
JK: J                               :    230.550u     11.317s     36.874w   1054 calls
JK: J1                              :    120.500u      8.883s     19.590w   1054 calls
JK: J2                              :    102.050u      1.683s     15.536w   1054 calls
JK: K                               :   7802.333u    200.350s   1203.311w   1054 calls
JK: K1                              :   4928.983u    151.200s    763.836w   1054 calls
JK: K2                              :   2870.233u     48.767s    438.929w   1054 calls
JK: AO2USO                          :      0.033u      0.000s      0.001w    341 calls
HF: Form F                          :      2.283u      0.433s      0.454w    341 calls
HF: Form D                          :      1.950u      0.083s      0.309w    341 calls
HF: DIIS                            :     43.500u      6.433s      7.527w    310 calls
DIISManager::add_entry              :      4.883u      0.950s      0.891w    310 calls
DIISManager::extrapolate            :     12.750u      3.217s      2.383w    310 calls
bMatrix setup                       :      6.383u      1.967s      1.264w    310 calls
bMatrix pseudoinverse               :      0.317u      0.017s      0.039w    310 calls
New vector                          :      6.000u      1.217s      1.071w    310 calls
HF: Form C                          :    114.700u      2.667s     17.625w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.917u      0.433s      5.644w     31 calls
JK: (A|Q)^-1                        :    862.350u     55.333s    134.452w     31 calls
JK: (A|mn)                          :    764.617u     12.100s    116.792w     93 calls
JK: (Q|mn)                          :   2132.900u     38.583s    326.534w     93 calls
JK: (Q|mn) Write                    :     63.933u     43.817s     25.495w     93 calls
HF: Form core H                     :      5.817u      0.417s      1.499w     31 calls
HF: Form S/X                        :     11.583u      0.367s      1.806w     31 calls
HF: Guess                           :    100.700u      2.567s     15.520w     31 calls
| SAD Guess                         :     97.383u      2.350s     14.988w     31 calls
HF: Form G                          :   9053.083u    737.467s   1573.586w    341 calls
| JK: D                             :      2.117u      0.133s      0.364w    341 calls
| JK: USO2AO                        :      1.683u      0.083s      0.246w    341 calls
| JK: JK                            :   9044.933u    736.267s   1572.108w    341 calls
| | JK: (Q|mn) Read                 :    540.600u    295.483s    169.645w   1054 calls
| | JK: J                           :    230.550u     11.317s     36.874w   1054 calls
| | | JK: J1                        :    120.500u      8.883s     19.590w   1054 calls
| | | JK: J2                        :    102.050u      1.683s     15.536w   1054 calls
| | JK: K                           :   7802.333u    200.350s   1203.311w   1054 calls
| | | JK: K1                        :   4928.983u    151.200s    763.836w   1054 calls
| | | JK: K2                        :   2870.233u     48.767s    438.929w   1054 calls
| JK: AO2USO                        :      0.033u      0.000s      0.001w    341 calls
HF: Form F                          :      2.283u      0.433s      0.454w    341 calls
HF: Form D                          :      1.950u      0.083s      0.309w    341 calls
HF: DIIS                            :     43.500u      6.433s      7.527w    310 calls
| DIISManager::add_entry            :      4.883u      0.950s      0.891w    310 calls
| DIISManager::extrapolate          :     12.750u      3.217s      2.383w    310 calls
| | bMatrix setup                   :      6.383u      1.967s      1.264w    310 calls
| | bMatrix pseudoinverse           :      0.317u      0.017s      0.039w    310 calls
| | New vector                      :      6.000u      1.217s      1.071w    310 calls
HF: Form C                          :    114.700u      2.667s     17.625w    310 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 13:13:24 2021
Timers Off: Thu Apr  1 13:47:26 2021

Wall Time:     2042.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.750u      0.350s      5.413w     31 calls
JK: (A|Q)^-1                        :    825.600u     46.017s    127.521w     31 calls
JK: (A|mn)                          :    591.683u      3.250s     89.446w     93 calls
JK: (Q|mn)                          :   2000.017u     15.600s    303.039w     93 calls
JK: (Q|mn) Write                    :     63.033u     31.733s     18.308w     93 calls
HF: Form core H                     :      7.533u      0.350s      1.674w     31 calls
HF: Form S/X                        :      9.883u      0.283s      1.516w     31 calls
HF: Guess                           :     99.200u      2.233s     15.348w     31 calls
SAD Guess                           :     95.967u      2.150s     14.847w     31 calls
HF: Form G                          :   8010.083u    440.150s   1338.807w    341 calls
JK: D                               :      1.767u      0.033s      0.265w    341 calls
JK: USO2AO                          :      1.233u      0.050s      0.177w    341 calls
JK: JK                              :   8004.350u    439.817s   1337.878w    341 calls
JK: (Q|mn) Read                     :    418.250u    218.883s    125.760w   1054 calls
JK: J                               :    175.200u      2.217s     26.890w   1054 calls
JK: J1                              :     86.817u      1.267s     13.305w   1054 calls
JK: J2                              :     80.467u      0.617s     12.199w   1054 calls
JK: K                               :   6961.233u     29.467s   1051.113w   1054 calls
JK: K1                              :   4333.767u     24.183s    655.218w   1054 calls
JK: K2                              :   2625.150u      5.100s    395.536w   1054 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      1.750u      0.117s      0.308w    341 calls
HF: Form D                          :      1.733u      0.050s      0.239w    341 calls
HF: DIIS                            :     37.483u      4.483s      6.303w    310 calls
DIISManager::add_entry              :      3.883u      0.983s      0.725w    310 calls
DIISManager::extrapolate            :     11.117u      2.650s      2.081w    310 calls
bMatrix setup                       :      5.117u      1.517s      1.036w    310 calls
bMatrix pseudoinverse               :      0.150u      0.000s      0.028w    310 calls
New vector                          :      5.750u      1.133s      1.011w    310 calls
HF: Form C                          :     94.650u      1.300s     14.435w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.750u      0.350s      5.413w     31 calls
